price,area,bedrooms,bathrooms,location,city,property_type,built_year,parking_spaces,servant_quarters,store_rooms,kitchens,drawing_rooms,property_url
9 Crore,16 Marla,6 Beds,6 Baths,"E-11, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,3,1,2,2,1,https://www.zameen.com/Property/e_11_e-11_2_investor_price_house_for_sale_in_e-11_2-54112023-3233-1.html
5.25 Crore,5 Marla,5 Beds,6 Baths,"G-14, Islamabad, Islamabad Capital",Islamabad,House,,,,,2,,https://www.zameen.com/Property/g_14_g-14_4_5_marla_brand-new_luxury_house_for_sale_in_g-14_4_islamabad-54127121-3346-1.html
13.8 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Floors: 2,2,2,2,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_modern_luxury_house_for_sale_in_dha_phase_2_islamabad-54104923-339-1.html
4.25 Crore,8 Marla,5 Beds,7 Baths,"Bahria Town, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,,1,1,1,2,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_j_luxurious_8_marla_triple-sided_open_home_with_huge_lawn_1_5_kanal_in_bahria_enclave_sector_j_-_pkr_4_25_crore-54204276-11981-1.html
7.7 Crore,1 Kanal,8 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,8,3,4,5,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_20_marla_corner_double_unit_house_for_sale_in_dha_phase_2_in_investor_price_dha_phase_2_islamabad-54249584-339-1.html
3.2 Crore,7 Marla,4 Beds,6 Baths,"Bahria Town, Islamabad, Islamabad Capital",Islamabad,House,Furnished,1,1,1,2,1,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_sector_n_5_marla_brand_new_corner_house_with_2_marla_extraland_excellent_construction_quality_sun_facing_house_available_for_sale-54185105-11975-1.html
6.35 Crore,10 Marla,6 Beds,6 Baths,"Top City 1, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,2,1,1,1,1,https://www.zameen.com/Property/islamabad_top_city_1_corner_10_marla_semi_furnished_house_for_sale-54225061-1383-1.html
70 Crore,2 Kanal,5 Beds,5 Baths,"F-8, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,6,,,,,https://www.zameen.com/Property/islamabad_f-8_prime_location_on_marrgalla_road_1000sqyds_in_coming_rent_5000_only_serious_buyers--54169872-166-1.html
6.95 Crore,10 Marla,5 Beds,6 Baths,"Top City 1, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,,,,2,,https://www.zameen.com/Property/islamabad_top_city_1_10_marla_designer_made_proper_corner_sunface_house_available_for_sale_in_topcity-1_islamabad-54232097-1383-1.html
1.8 Crore,5 Marla,4 Beds,-,"National Police Foundation O-9, Islamabad, Islamabad Capital",Islamabad,House,,,,,,,https://www.zameen.com/Property/national_police_foundation_o_9_national_police_foundation_o-9_-_block_c_5_marla_house_situated_in_national_police_foundation_o-9_-_block_c_for_sale-54236477-16427-1.html
1.3 Crore,5 Marla,4 Beds,5 Baths,"E-17, Islamabad, Islamabad Capital",Islamabad,House,Floors,,,,2,1,https://www.zameen.com/Property/islamabad_e-17_5_marla_brand_new_double_storey_house_available_for_sale-54193778-1409-1.html
1.65 Crore,8 Marla,2 Beds,3 Baths,"E-18, Islamabad, Islamabad Capital",Islamabad,House,,,,,2,1,https://www.zameen.com/Property/gulshan_e_sehat_2_gulshan-e-sehat_2_-_block_f_8_marla_30_60_in_block_f_single_story_brand_new_house_available_for_sale_in_gulshan_e_sehat_e-18_islamabad-54133023-3268-1.html
5.4 Crore,10 Marla,5 Beds,5 Baths,"Bahria Town, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,3,1,,1,1,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_bahria_enclave_islamabad_sector_c1_10_marla_brand_new_sun-facing_luxury_house_for_sale-53422398-11987-1.html
3.5 Crore,7 Marla,4 Beds,4 Baths,"Faisal Town - F-18, Islamabad, Islamabad Capital",Islamabad,House,Furnished,2,1,1,1,2,https://www.zameen.com/Property/islamabad_faisal_town_-_f-18_faisal_town_7_marla_house_for_sale-53737283-8260-1.html
7.8 Crore,10 Marla,5 Beds,5 Baths,"G-9, Islamabad, Islamabad Capital",Islamabad,House,Furnished,,1,1,1,1,https://www.zameen.com/Property/islamabad_g-9_g_9_4_35x70_house_with_extra_land_for_sale-54206059-171-1.html
1.25 Crore,5 Marla,2 Beds,2 Baths,"Bhara kahu, Islamabad, Islamabad Capital",Islamabad,House,,,,2,2,1,https://www.zameen.com/Property/islamabad_bhara_kahu_brand_new_house-54253083-156-1.html
8.6 Crore,1 Kanal,5 Beds,5 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,24,1,1,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_luxury_5bed_designer_house-53721742-339-1.html
7.95 Crore,1 Kanal,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,1,1,1,1,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_f_designer_outclass_house_on_top_height_location_near_giga_mall_central_park-49354939-3201-1.html
1.65 Crore,5 Marla,5 Beds,6 Baths,"Ghauri Town, Islamabad, Islamabad Capital",Islamabad,House,Floors: 2,1,1,1,2,1,https://www.zameen.com/Property/ghauri_town_ghauri_garden_urgent_sale_reasonable_price_5_marla_double_storey_house_for_sale_ghouri_garden_lehtrar_road_islamabad_best_location_near_commercial_street_size_30_feet-53920778-10660-1.html
15 Crore,1 Kanal,10 Beds,6 Baths,"E-11, Islamabad, Islamabad Capital",Islamabad,House,Furnished,6,2,2,2,1,https://www.zameen.com/Property/islamabad_e-11_house_for_sale_in_e-11_3_npf-54178808-329-1.html
9.3 Crore,8 Marla,5 Beds,5 Baths,"G-11, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,2,1,1,1,1,https://www.zameen.com/Property/islamabad_g-11_brand_new_house_for_sale_in_g-11-53992192-168-1.html
26 Crore,1.8 Kanal,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,26,2,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_and_only_top_and_prime_location_of_dha_2_islamabad_at_central_park_facing_dully_furnished-53041854-339-1.html
13.5 Crore,1 Kanal,9 Beds,6 Baths,"E-11, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,3,2,2,3,3,https://www.zameen.com/Property/e_11_e-11_3_investor_price_house_for_sale_in_e-11-53974534-3238-1.html
13.9 Crore,1 Kanal,7 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,13,2,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_brand_new_beautiful_single_unit_house-53041848-339-1.html
42 Crore,1.3 Kanal,6 Beds,6 Baths,"F-11, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,6,42,2,1,1,https://www.zameen.com/Property/islamabad_f-11_brand_new_house_for_sale_in_f-11-54227963-163-1.html
14 Crore,16 Marla,7 Beds,6 Baths,"F-11, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,3,40,1,3,1,https://www.zameen.com/Property/islamabad_f-11_investor_price_house_for_sale_in_f-11-54232082-163-1.html
26.5 Crore,1.3 Kanal,5 Beds,5 Baths,"F-8, Islamabad, Islamabad Capital",Islamabad,House,Furnished,5,1,1,1,1,https://www.zameen.com/Property/islamabad_f-8_house_for_sale_f_8-50748293-166-1.html
29.5 Crore,1 Kanal,4 Beds,5 Baths,"F-7, Islamabad, Islamabad Capital",Islamabad,House,Electricity Backup,,1,,1,1,https://www.zameen.com/Property/islamabad_f-7_50x90_prime_location_old_house_is_available_for_sale-54000891-165-1.html
58 Crore,1.3 Kanal,6 Beds,7 Baths,"F-7, Islamabad, Islamabad Capital",Islamabad,House,,3,2,1,1,1,https://www.zameen.com/Property/islamabad_f-7_offer_offer_6_months_time_modern_brand-new_house_is_for_sale-53604121-165-1.html
38.5 Crore,17.8 Marla,7 Beds,7 Baths,"F-6, Islamabad, Islamabad Capital",Islamabad,House,Furnished,,1,2,1,1,https://www.zameen.com/Property/islamabad_f-6_elegant_house_is_for_sale_in_f-6-53318282-164-1.html
12.99 Crore,14.2 Marla,7 Beds,7 Baths,"G-13, Islamabad, Islamabad Capital",Islamabad,House,,,,,10,,https://www.zameen.com/Property/g_13_g-13_1_the_most_elegant_designer_4080_house_of_g13_with_solar_on_70ft_road-53949517-3337-1.html
14 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,,1,1,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_luxury_house_for_sale_in_dha_phase_2_islamabad-53583485-339-1.html
1.48 Crore,5 Marla,3 Beds,4 Baths,"Bani Gala, Islamabad, Islamabad Capital",Islamabad,House,,Flooring,,1,1,1,https://www.zameen.com/Property/islamabad_bani_gala_5_marla_most_beautiful_house_for_sale-54246913-340-1.html
5.3 Crore,5 Marla,5 Beds,6 Baths,"G-14, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,1,,,1,1,https://www.zameen.com/Property/g_14_g-14_4_on_excellent_location-54015945-3346-1.html
10.5 Crore,1 Kanal,6 Beds,7 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,1,1,1,1,https://www.zameen.com/Property/dha_defence_phase_3_dha_phase_3_-_block_b_beautiful_location_ideal_house_near_masjid_park_and_school-54141558-16227-1.html
12.75 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,1,1,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_elegant_design_brand_new_1_kanal_house_with_swimming_pool-54127799-339-1.html
2.6 Crore,5 Marla,5 Beds,6 Baths,"B-17, Islamabad, Islamabad Capital",Islamabad,House,Furnished,1,1,2,2,1,https://www.zameen.com/Property/b_17_mpchs_-_multi_gardens_5_marla_twin_houses_at_prime_location_of_b-17_islamabad-54183822-3115-1.html
12.5 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,03,020,2,3,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_prime_location_luxury_house_for_sale_in_dha_phase_2_near_to_giga_mall_near_to_masjid_near_to_control_park_near_to_control_commercial_near_to_hospital_near_to_aps-54155604-339-1.html
1.4 Crore,5 Marla,4 Beds,4 Baths,"Kashmir Highway, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,02,1,1,1,1,https://www.zameen.com/Property/airport_green_garden_airport_green_garden_-_block_a_to_sale_you_can_find_spacious_house_in_airport_green_garden_-_block_a-53962748-19371-1.html
5.1 Crore,14 Marla,7 Beds,6 Baths,"G-15, Islamabad, Islamabad Capital",Islamabad,House,Furnished,4,1,2,2,1,https://www.zameen.com/Property/islamabad_g-15_beautiful_designer_14_marla_40_80_house_for_sale_in_g-15_islamabad-53974259-764-1.html
8.8 Crore,1 Kanal,5 Beds,5 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,,,,,1,1,https://www.zameen.com/Property/dha_defence_phase_3_dha_phase_3_-_block_b_looking_for_a_corner_house_in_dha_phase_3_-_block_b_islamabad-54112153-16227-1.html
1.45 Crore,5 Marla,3 Beds,3 Baths,"Multi Residencia & Orchards, Islamabad, Islamabad Capital",Islamabad,House,,,,,1,1,https://www.zameen.com/Property/islamabad_multi_residencia_orchards_5_marla_house_in_multi_ochrard_residence_islamabad-53847163-8332-1.html
2.4 Crore,5 Marla,-,-,"Faisal Hills, Islamabad, Islamabad Capital",Islamabad,House,,,,,,,https://www.zameen.com/Property/islamabad_faisal_hills_faisal_hills_house_sized_5_marla-54242185-10859-1.html
4.6 Crore,4 Marla,3 Beds,4 Baths,"G-11, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,,150,1,1,1,https://www.zameen.com/Property/islamabad_g-11_4_marla_brand_new_luxury_double_storey_house_for_sale_in_sector_g-11_islamabad-53911697-168-1.html
17 Crore,1 Kanal,9 Beds,6 Baths,"F-10, Islamabad, Islamabad Capital",Islamabad,House,Furnished,7,7,2,2,1,https://www.zameen.com/Property/islamabad_f-10_in_f-10_of_f-10_a_511_square_yards_house_is_available-50842424-162-1.html
11.5 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,11,1,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_brand_new_beautiful_designer_house_for_sale_at_prime_location_of_dha2_islamabad-52412162-339-1.html
16 Crore,1 Kanal,7 Beds,6 Baths,"F-10, Islamabad, Islamabad Capital",Islamabad,House,Furnished,6,2,2,1,1,https://www.zameen.com/Property/islamabad_f-10_triple_storey_house_for_sale_f_10-51309540-162-1.html
13.5 Crore,1 Kanal,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,2,2,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_brand_new_beautiful_single_unit_house-52401406-339-1.html
22 Crore,1 Kanal,8 Beds,6 Baths,"F-11, Islamabad, Islamabad Capital",Islamabad,House,Furnished,6,2,2,6,1,https://www.zameen.com/Property/f_11_f-11_3_triple_storey_house_for_sale_f_11_3-51309544-3284-1.html
24 Crore,1.4 Kanal,5 Beds,5 Baths,"F-10, Islamabad, Islamabad Capital",Islamabad,House,Furnished,5,2,1,2,1,https://www.zameen.com/Property/islamabad_f-10_house_for_sale_in_f-10-53425600-162-1.html
19.5 Crore,1 Kanal,5 Beds,5 Baths,"F-10, Islamabad, Islamabad Capital",Islamabad,House,Furnished,4,10,1,1,1,https://www.zameen.com/Property/islamabad_f-10_house_for_sale_in_f-10-53615912-162-1.html
24 Crore,1.4 Kanal,5 Beds,5 Baths,"F-10, Islamabad, Islamabad Capital",Islamabad,House,Furnished,4,2,1,1,1,https://www.zameen.com/Property/islamabad_f-10_house_for_sale_in_f-10-53680134-162-1.html
45 Crore,2.5 Kanal,7 Beds,6 Baths,"F-7, Islamabad, Islamabad Capital",Islamabad,House,Furnished,4,2,1,2,1,https://www.zameen.com/Property/islamabad_f-7_luxurious_7-bedroom_house_for_sale_on_prime_location-49610450-165-1.html
46 Crore,2 Kanal,6 Beds,6 Baths,"F-7, Islamabad, Islamabad Capital",Islamabad,House,Furnished,4,1,1,2,1,https://www.zameen.com/Property/islamabad_f-7_luxurious_6_bedroom_house_for_sale_in_prime_location-49981663-165-1.html
48 Crore,1.3 Kanal,6 Beds,6 Baths,"F-7, Islamabad, Islamabad Capital",Islamabad,House,Floors: 3,5,2,2,3,1,https://www.zameen.com/Property/islamabad_f-7_brand_new_house_available_for_sale_in_f7-52498240-165-1.html
80 Crore,4 Kanal,10 Beds,-,"F-7, Islamabad, Islamabad Capital",Islamabad,House,Flooring,1,1,,1,1,https://www.zameen.com/Property/f_7_f-7_3_investor_price_house_available_for_sale_f7-52573056-3309-1.html
40 Crore,1 Kanal,9 Beds,-,"F-8, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,5,2,2,2,1,https://www.zameen.com/Property/islamabad_f-8_brand_new_house_available_for_sale-53153128-166-1.html
12.8 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,3,1,1,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_semi-furnished_1_kanal_house_for_sale_in_dha_phase_2_islamabad-54250620-339-1.html
6.7 Crore,14.2 Marla,6 Beds,6 Baths,"FECHS, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,3,1,1,1,1,https://www.zameen.com/Property/fechs_jinnah_gardens_brand_new_double_storey_cda_lop_clear_designer_house_in_jinnah_garden_phase_1_islamabad-53885450-1420-1.html
19.5 Crore,2 Kanal,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,6,2,1,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_5_ultra-luxury_2_kanal_fully_furnished_mansion_for_sale_in_dha_islamabad-54250645-10991-1.html
12.85 Crore,14 Marla,8 Beds,7 Baths,"G-11, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,1,3,1,10,https://www.zameen.com/Property/g_11_g-11_2_new_modern_double_storey_house_on_70ft_road_near_g11_markaz_double_road_back_with_2_parks_servant_quarter_cda_transfer-53409307-3331-1.html
3.57 Crore,8 Marla,5 Beds,6 Baths,"Faisal Town - F-18, Islamabad, Islamabad Capital",Islamabad,House,Furnished,,1,1,1,2,https://www.zameen.com/Property/islamabad_faisal_town_-_f-18_30x60_8_marla_modern_house-53056812-8260-1.html
2.85 Crore,5 Marla,3 Beds,4 Baths,"Bahria Town, Islamabad, Islamabad Capital",Islamabad,House,Furnished,1,1,1,1,1,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_b1_5_5_marla_ideal_location_solid_constructed_house_with_10kv_solar-54085778-11972-1.html
3.8 Crore,5 Marla,4 Beds,5 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,02,02,1,6,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_5_5_marla_house_in_central_dha_defence_phase_5_for_sale-54013076-10991-1.html
30 Crore,1.3 Kanal,9 Beds,7 Baths,"F-11, Islamabad, Islamabad Capital",Islamabad,House,Furnished,,30,1,1,1,https://www.zameen.com/Property/f_11_f-11_2_f-11_2_brand_new_9-bedroom_fully-furnished_house_-_new_666_yards_full_basement_price_30_crores-52809449-3283-1.html
30 Crore,1.3 Kanal,9 Beds,7 Baths,"F-11, Islamabad, Islamabad Capital",Islamabad,House,Furnished,,1,1,1,1,https://www.zameen.com/Property/islamabad_f-11_f-11_2_brand_new_luxury_666-yard_fully-furnished_house_-_9_beds_full_basement_price_30_crores-52809414-163-1.html
70 Crore,2.2 Kanal,10 Beds,7 Baths,"F-10, Islamabad, Islamabad Capital",Islamabad,House,Furnished,,6,1,3,1,https://www.zameen.com/Property/islamabad_f-10_f-10_ultra-luxury_1111_yards_10-bed_prestigious_residence_designed_for_high-profile_families_ample_parking_for_6_suvs_vigoes_price_70_crores-53717731-162-1.html
13.5 Crore,10 Marla,5 Beds,6 Baths,"D-12, Islamabad, Islamabad Capital",Islamabad,House,Furnished,2,1,2,1,1,https://www.zameen.com/Property/d_12_d-12_4_d12_4_luxury_furnished_brand_new_double_storey_house_5_bed_attach_bath-53337440-3157-1.html
1.4 Crore,5 Marla,3 Beds,2 Baths,"Bani Gala, Islamabad, Islamabad Capital",Islamabad,House,Furnished,1,1,1,1,1,https://www.zameen.com/Property/islamabad_bani_gala_1_5_storey_house-54188082-340-1.html
18 Crore,1 Kanal,5 Beds,5 Baths,"F-10, Islamabad, Islamabad Capital",Islamabad,House,Furnished,4,1,2,2,1,https://www.zameen.com/Property/islamabad_f-10_double_storey_house_for_sale_f_10-53749808-162-1.html
24.5 Crore,1 Kanal,5 Beds,5 Baths,"F-10, Islamabad, Islamabad Capital",Islamabad,House,Furnished,5,1,1,1,1,https://www.zameen.com/Property/islamabad_f-10_brand_new_house_for_sale_in_f-10-53750391-162-1.html
17.5 Crore,1 Kanal,6 Beds,6 Baths,"F-10, Islamabad, Islamabad Capital",Islamabad,House,Furnished,5,1,1,1,1,https://www.zameen.com/Property/islamabad_f-10_investor_price_house_for_sale_in_f-10-53763181-162-1.html
14.25 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,4,1,2,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_elegant_design_1_kanal_brand_new_designer_house_ready_for_sale_in_dha_defence_phase_2_islamabad-54251380-339-1.html
12.8 Crore,1 Kanal,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,1,2,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_straight_line_design_1_kanal_brand_new_house_dha_defence_phase_2_islamabad-54246163-339-1.html
9.5 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,1,2,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_spanish_design_1_kanal_brand_new_designer_house_ready_for_sale_in_dha_defence_phase_2_islamabad-54246424-339-1.html
3.75 Crore,4 Marla,5 Beds,5 Baths,"G-13, Islamabad, Islamabad Capital",Islamabad,House,Furnished,4,1,1,1,1,https://www.zameen.com/Property/islamabad_g-13_25_40_4_marla_house_for_sale_in_g-13_islamabad-54203772-330-1.html
3.2 Crore,5 Marla,3 Beds,5 Baths,"B-17, Islamabad, Islamabad Capital",Islamabad,House,Electricity Backup,1,1,1,1,2,https://www.zameen.com/Property/b_17_faisal_margalla_city_5_marla_brand_new_double_storey_single_unit_house_for_sale_in_faisal_margala_city_b-17_islamabad-54254838-13424-1.html
22 Crore,1 Kanal,5 Beds,5 Baths,"F-8, Islamabad, Islamabad Capital",Islamabad,House,Furnished,1,1,1,1,1,https://www.zameen.com/Property/islamabad_f-8_demolishable_house_available_for_sale-50149107-166-1.html
30 Crore,2 Kanal,10 Beds,-,"F-8, Islamabad, Islamabad Capital",Islamabad,House,Furnished,5,2,1,1,1,https://www.zameen.com/Property/islamabad_f-8_magnificent_10-bed_residence_in_prime_f-8_location_-_cda_transfer-49706464-166-1.html
26 Crore,1.3 Kanal,6 Beds,6 Baths,"F-8, Islamabad, Islamabad Capital",Islamabad,House,Furnished,,1,1,2,1,https://www.zameen.com/Property/islamabad_f-8_house_for_sale_with_extra_land-49330955-166-1.html
65 Crore,4 Kanal,8 Beds,6 Baths,"F-8, Islamabad, Islamabad Capital",Islamabad,House,Furnished,,1,2,2,1,https://www.zameen.com/Property/islamabad_f-8_luxurious_mansion_for_sale_in_f-8_sector_-_prime_location_exclusive_features-49610246-166-1.html
5.25 Crore,6 Marla,4 Beds,4 Baths,"I-10, Islamabad, Islamabad Capital",Islamabad,House,Furnished,2,,,1,1,https://www.zameen.com/Property/i_10_i-10_2_i_10_2_new_house_25x60_for_sale_real_pics_attached-54201625-3421-1.html
1.8 Crore,5 Marla,4 Beds,5 Baths,"National Police Foundation O-9, Islamabad, Islamabad Capital",Islamabad,House,Furnished,01,1,2,1,1,https://www.zameen.com/Property/national_police_foundation_o_9_national_police_foundation_o-9_-_block_c_5_marla_house_for_sale_on_best_price-52297252-16427-1.html
6.25 Crore,10 Marla,5 Beds,6 Baths,"Bahria Town, Islamabad, Islamabad Capital",Islamabad,House,,,1,,2,1,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_new_designer_house-53090277-11987-1.html
6.4 Crore,10 Marla,5 Beds,5 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,4,1,2,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_5_10_marla_brand_new_house_in_dha_phase_5-52716846-10991-1.html
9.5 Crore,1 Kanal,5 Beds,7 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,1,2,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_brand_new_1_kanal_luxurious_house_for_sale-52964109-339-1.html
16 Crore,2.5 Kanal,4 Beds,5 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,4,1,1,1,1,https://www.zameen.com/Property/dha_defence_phase_5_dha_phase_5_-_sector_c_2_5_kanal_luxury_designer_house_for_sale_prime_location_15_kva_solar_near_park_mosque-54042967-8402-1.html
4.55 Crore,10 Marla,4 Beds,6 Baths,"River Garden, Islamabad, Islamabad Capital",Islamabad,House,,,1,,,,https://www.zameen.com/Property/islamabad_river_garden_10_marla_house_duble_story_available_for_sale_in_river_garden_islamabad-54010285-1457-1.html
10.9 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,3,2,3,1,2,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_luxury_designer_house_for_sale_near_family_park-52503543-339-1.html
78 Lakh,5 Marla,2 Beds,2 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Floors: 1,,,1,2,1,https://www.zameen.com/Property/dha_valley_dha_valley_-_lilly_sector_brand_new_5_marla_single_storey_corner_house_dha_phase_7_rawalpindi-53315739-3214-1.html
1.65 Crore,8 Marla,3 Beds,3 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,2,2,1,1,1,https://www.zameen.com/Property/dha_valley_oleander_sector_oleander_sector_-_dha_homes_block_a_premium_8_marla_corner_villa_in_oleander_dha_phase_7-53442850-16792-1.html
78 Lakh,5 Marla,2 Beds,2 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,1,1,1,1,1,https://www.zameen.com/Property/dha_valley_dha_valley_-_oleander_sector_modern_5_marla_house_with_garden_2_bedrooms_car_porch_ideal_family_home-53442940-3213-1.html
1.56 Crore,8 Marla,3 Beds,3 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,2,2,1,1,1,https://www.zameen.com/Property/dha_valley_oleander_sector_oleander_sector_-_dha_homes_block_a_main_boulevard_facing_8_marla_double_storey_house_dha_phase_7_rawalpindi-53319762-16792-1.html
79 Lakh,5 Marla,2 Beds,2 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,1,1,1,1,1,https://www.zameen.com/Property/dha_valley_dha_valley_-_oleander_sector_beautiful_5_marla_family_house_for_sale_2_beds_tv_lounge_garden_parking-53442968-3213-1.html
11.9 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,3,2,2,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_dha_phase_2_one_kanal_brand_new_luxurious_designer_house-52691375-339-1.html
12.9 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,3,2,2,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_dha_2_one_kanal_brand_new_luxurious_designer_house-52696249-339-1.html
15.5 Crore,1 Kanal,6 Beds,7 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Other Main Features,3,1,1,2,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_elegant_designer_house_with_basement_up_for_sale-54254728-339-1.html
6.7 Crore,10 Marla,4 Beds,5 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,2,1,1,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_10_marla_designer_beautiful_house_for_sale_in_dha_phase_2_islamabad-54109059-339-1.html
12.5 Crore,1 Kanal,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,3,2,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_designer_house_available_for_sale_in_dha_phase_2_islamabad-53506288-339-1.html
12.5 Crore,1 Kanal,8 Beds,7 Baths,"DHA Defence, Islamabad, Islamabad Capital",Islamabad,House,Furnished,3,2,1,1,1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_luxury_house_with_swimming_pool_for_sale_in_dha_phase_2_islamabad-54241926-339-1.html
